State (Emission order)	H3k4me3	H3k9ac	H3k27ac	H2afz	H3k4me2	H3k04me1	H3k79me2	H3k36me3	H3k09me3	H3k27me3
1	0.641660266185252	0.6315952884175393	0.6527117224115301	0.14233922980941838	0.15295757571886748	2.888371583040799E-4	0.016810882159608093	1.911942288729434E-4	0.0016817658241675265	9.105108584028868E-4
2	1.0	0.9999878567790472	0.990130467944143	0.7658376210928929	0.9398078478973554	0.13321330224528785	0.4182417683624923	4.665689523755593E-4	0.005530639121053259	0.0034007868235883857
3	0.6729499883766248	0.7825461969465791	0.9877688758184502	0.5977757093887334	0.9970198971029383	0.9357207456203228	0.09304604279640503	0.018621041972459663	0.007081682665414803	0.003921567061522506
4	0.0420172727829131	0.13617544884294266	0.6988138316802732	0.1917468491268188	0.528949073058624	0.8367338719813526	0.05838280628736042	0.029905944541284497	0.012390971847361506	0.002396691566105996
5	0.002124496799716986	0.02018622562597254	0.020333653467791344	0.03679164884282901	0.024145172947266615	0.39475287703838163	0.021295681747245603	0.005746932867124855	0.004473067945041773	0.002514037123201153
6	0.08212635810351979	0.044445958086686575	0.02292337271523826	0.250741555710702	0.6304448607693891	0.4706004662961803	0.023036051444075816	0.001374515734439765	0.008747510356073832	0.030701898013997062
7	0.9402259811314486	0.4575718449111845	0.22948273656150295	0.6434790570571537	0.9771058512944468	0.5212114779156832	0.07757634076360614	0.0232562892431887	0.0411516860091011	0.06568813707639803
8	0.9098718601279222	0.5409666093297524	0.39531172751572374	0.028008039246669076	0.998095493463261	0.5878138397229045	0.9124577084208471	0.18729558242547387	0.007900218518142259	0.004640455577246483
9	0.04709736653170747	0.062426647246334344	0.10421129874085473	0.004274995459828668	0.4286425771219796	0.48059520298875275	0.743739685048176	0.2962901884479285	0.01114784478400499	0.0033797997174996332
10	8.888701118806981E-4	0.006776016784174139	0.0014924130743143133	5.847137933511253E-4	0.0035086417129333936	0.022241007162235118	0.5916902111412609	0.11305851106472856	0.006730750549901562	8.702924949763512E-4
11	4.910620996668964E-4	0.005964221348838448	8.693370662983871E-4	6.698178289920527E-4	5.655097005130789E-4	0.0020033566534952405	0.03648663434142194	0.04110660854572375	0.002046466887127111	7.275921756286806E-4
12	0.0021970392897862896	0.015783756303918057	0.004425903959065504	0.0014249688985953533	0.0013604867370605213	0.007512101898299626	0.06697033566141125	0.466108039446055	0.009759092926093959	0.002853834827051776
13	0.0015364388588626238	0.009744256628702796	5.409833161402166E-4	0.012827006136197026	0.0019379902220285799	0.002030538485301262	0.008589676007768263	1.5896883336678785E-4	0.011989858941571854	0.2740157501657936
14	1.3836132909385347E-4	0.0014049992088906705	8.678064705136506E-5	0.002896633268337625	2.393694851934795E-4	4.920273101764756E-4	0.0030519525922231634	2.1957826141819512E-4	0.002616989029015082	0.0038257293141744936
15	0.012197034878264849	0.03154912179906954	0.004879545432842334	0.05939669098453236	0.00354897469453276	0.005166490108940027	0.032571129893727506	0.008071667498315291	0.22163222596185211	0.03573054087361906
